,GID_1_41,year,grp_usd
604,AUS.8_1,1996,42856216352.989746
605,AUS.8_1,1997,41455998202.11528
606,AUS.8_1,1998,37225898413.73812
607,AUS.8_1,1999,37944778840.8441
608,AUS.8_1,2000,35168428499.76765
609,AUS.8_1,2001,32649528370.78075
610,AUS.8_1,2002,36667947353.30826
611,AUS.8_1,2003,45789457962.70632
612,AUS.8_1,2004,53610081499.79328
613,AUS.8_1,2005,56307386046.76912
614,AUS.8_1,2006,56993930565.975
615,AUS.8_1,2007,66581529469.26789
616,AUS.8_1,2008,71292680860.5856
617,AUS.8_1,2009,68516786761.83431
618,AUS.8_1,2010,83321381691.53354
619,AUS.8_1,2011,98451734877.31393
620,AUS.8_1,2012,98838424417.56429
621,AUS.8_1,2013,93739132368.24254
622,AUS.8_1,2014,88264911608.10103
623,AUS.8_1,2015,74267690762.6123
624,AUS.8_1,2016,73079460056.796
625,AUS.8_1,2017,76174257335.62775
626,AUS.8_1,2018,75230063521.2075
627,AUS.8_1,2019,71162253045.5515
628,AUS.8_1,2020,70738085217.5844
629,AUS.9_1,1953,
630,AUS.9_1,1976,5769588104.406
631,AUS.9_1,1984,7945852374.600901
632,AUS.9_1,1985,6763284575.39328
633,AUS.9_1,1986,7045984205.64775
634,AUS.9_1,1987,7858972440.584999
635,AUS.9_1,1988,9499653904.9734
636,AUS.9_1,1989,9956084344.1049
637,AUS.9_1,1990,10936725947.3976
638,AUS.9_1,1991,10715310864.575369
639,AUS.9_1,1992,10366034895.85338
640,AUS.9_1,1993,9813001917.041191
641,AUS.9_1,1994,10575769375.7404
642,AUS.9_1,1995,11030315824.18824
643,AUS.9_1,1996,12176341920.062931
644,AUS.9_1,1997,11863643611.910301
645,AUS.9_1,1998,10063619504.5635
646,AUS.9_1,1999,10500440381.61146
647,AUS.9_1,2000,9641253943.776001
648,AUS.9_1,2001,8709347648.2791
649,AUS.9_1,2002,9901270478.6484
650,AUS.9_1,2003,12321866743.08765
651,AUS.9_1,2004,15195429203.29434
652,AUS.9_1,2005,15955692803.336779
653,AUS.9_1,2006,16327089959.81705
654,AUS.9_1,2007,19516858667.3346
655,AUS.9_1,2008,20301387290.593502
656,AUS.9_1,2009,18946405779.9192
657,AUS.9_1,2010,23333207957.337597
658,AUS.9_1,2011,26716497462.32856
659,AUS.9_1,2012,26461566207.423
660,AUS.9_1,2013,24327153636.65136
661,AUS.9_1,2014,22763754789.9846
662,AUS.9_1,2015,20578619477.48448
663,AUS.9_1,2016,20648428962.4302
664,AUS.9_1,2017,21538286154.13395
665,AUS.9_1,2018,21448438605.37728
666,AUS.9_1,2019,20726800630.34457
667,AUS.9_1,2020,21039193309.99248
668,AUS.10_1,1953,
669,AUS.10_1,1976,62060087714.26
670,AUS.10_1,1984,91758527260.9536
671,AUS.10_1,1985,78407475305.62537
672,AUS.10_1,1986,81064662263.78831
673,AUS.10_1,1987,93459653560.8021
674,AUS.10_1,1988,112651019452.528
675,AUS.10_1,1989,119384040437.34175
676,AUS.10_1,1990,135279899075.9642
677,AUS.10_1,1991,131122296330.0976
678,AUS.10_1,1992,119614188971.80815
679,AUS.10_1,1993,114806945432.77338
680,AUS.10_1,1994,126659104799.1987
681,AUS.10_1,1995,131786091835.52937
682,AUS.10_1,1996,145216041309.63736
683,AUS.10_1,1997,141646070694.8103
